sr_no,underlying,symbol
1,360 ONE WAM LIMITED,360ONE
2,ABB India Limited,ABB
3,APL Apollo Tubes Limited,APLAPOLLO
4,AU Small Finance Bank Limited,AUBANK
5,Adani Energy Solutions Limited,ADANIENSOL
6,Adani Enterprises Limited,ADANIENT
7,Adani Green Energy Limited,ADANIGREEN
8,Adani Ports and Special Economic Zone Limited,ADANIPORTS
9,Aditya Birla Capital Limited,ABCAPITAL
10,Alkem Laboratories Limited,ALKEM
11,Amber Enterprises India Limited,AMBER
12,Ambuja Cements Limited,AMBUJACEM
13,Angel One Limited,ANGELONE
14,Apollo Hospitals Enterprise Limited,APOLLOHOSP
15,Ashok Leyland Limited,ASHOKLEY
16,Asian Paints Limited,ASIANPAINT
17,Astral Limited,ASTRAL
18,Aurobindo Pharma Limited,AUROPHARMA
19,Avenue Supermarts Limited,DMART
20,Axis Bank Limited,AXISBANK
21,BSE Limited,BSE
22,Bajaj Auto Limited,BAJAJ-AUTO
23,Bajaj Finance Limited,BAJFINANCE
24,Bajaj Finserv Limited,BAJAJFINSV
25,Bajaj Holdings & Investment Limited,BAJAJHLDNG
26,Bandhan Bank Limited,BANDHANBNK
27,Bank of Baroda,BANKBARODA
28,Bank of India,BANKINDIA
29,Bharat Dynamics Limited,BDL
30,Bharat Electronics Limited,BEL
31,Bharat Forge Limited,BHARATFORG
32,Bharat Heavy Electricals Limited,BHEL
33,Bharat Petroleum Corporation Limited,BPCL
34,Bharti Airtel Limited,BHARTIARTL
35,Biocon Limited,BIOCON
36,Blue Star Limited,BLUESTARCO
37,Bosch Limited,BOSCHLTD
38,Britannia Industries Limited,BRITANNIA
39,CG Power and Industrial Solutions Limited,CGPOWER
40,Canara Bank,CANBK
41,Central Depository Services (India) Limited,CDSL
42,Cholamandalam Investment and Finance Company Limited,CHOLAFIN
43,Cipla Limited,CIPLA
44,Coal India Limited,COALINDIA
45,Coforge Limited,COFORGE
46,Colgate Palmolive (India) Limited,COLPAL
47,Computer Age Management Services Limited,CAMS
48,Container Corporation of India Limited,CONCOR
49,Crompton Greaves Consumer Electricals Limited,CROMPTON
50,Cummins India Limited,CUMMINSIND
51,DLF Limited,DLF
52,Dabur India Limited,DABUR
53,Dalmia Bharat Limited,DALBHARAT
54,Delhivery Limited,DELHIVERY
55,Divi's Laboratories Limited,DIVISLAB
56,Dixon Technologies (India) Limited,DIXON
57,Dr. Reddy's Laboratories Limited,DRREDDY
58,ETERNAL LIMITED,ETERNAL
59,Eicher Motors Limited,EICHERMOT
60,Exide Industries Limited,EXIDEIND
61,FSN E-Commerce Ventures Limited,NYKAA
62,Fortis Healthcare Limited,FORTIS
63,GAIL (India) Limited,GAIL
64,GMR AIRPORTS LIMITED,GMRAIRPORT
65,Glenmark Pharmaceuticals Limited,GLENMARK
66,Godrej Consumer Products Limited,GODREJCP
67,Godrej Properties Limited,GODREJPROP
68,Grasim Industries Limited,GRASIM
69,HCL Technologies Limited,HCLTECH
70,HDFC Asset Management Company Limited,HDFCAMC
71,HDFC Bank Limited,HDFCBANK
72,HDFC Life Insurance Company Limited,HDFCLIFE
73,Havells India Limited,HAVELLS
74,Hero MotoCorp Limited,HEROMOTOCO
75,Hindalco Industries Limited,HINDALCO
76,Hindustan Aeronautics Limited,HAL
77,Hindustan Petroleum Corporation Limited,HINDPETRO
78,Hindustan Unilever Limited,HINDUNILVR
79,Hindustan Zinc Limited,HINDZINC
80,Hitachi Energy India Limited,POWERINDIA
81,Housing & Urban Development Corporation Limited,HUDCO
82,ICICI Bank Limited,ICICIBANK
83,ICICI Lombard General Insurance Company Limited,ICICIGI
84,ICICI Prudential Life Insurance Company Limited,ICICIPRULI
85,IDFC First Bank Limited,IDFCFIRSTB
86,IIFL Finance Limited,IIFL
87,ITC Limited,ITC
88,Indian Bank,INDIANB
89,Indian Energy Exchange Limited,IEX
90,Indian Oil Corporation Limited,IOC
91,Indian Railway Catering And Tourism Corporation Limited,IRCTC
92,Indian Railway Finance Corporation Limited,IRFC
93,Indian Renewable Energy Development Agency Limited,IREDA
94,Indus Towers Limited,INDUSTOWER
95,IndusInd Bank Limited,INDUSINDBK
96,Info Edge (India) Limited,NAUKRI
97,Infosys Limited,INFY
98,Inox Wind Limited,INOXWIND
99,InterGlobe Aviation Limited,INDIGO
100,JINDAL STEEL LIMITED,JINDALSTEL
101,JSW Energy Limited,JSWENERGY
102,JSW Steel Limited,JSWSTEEL
103,Jio Financial Services Limited,JIOFIN
104,Jubilant Foodworks Limited,JUBLFOOD
105,KEI Industries Limited,KEI
106,KPIT Technologies Limited,KPITTECH
107,Kalyan Jewellers India Limited,KALYANKJIL
108,Kaynes Technology India Limited,KAYNES
109,Kfin Technologies Limited,KFINTECH
110,Kotak Mahindra Bank Limited,KOTAKBANK
111,L&T Finance Limited,LTF
112,LIC Housing Finance Limited,LICHSGFIN
113,LTIMindtree Limited,LTIM
114,Larsen & Toubro Limited,LT
115,Laurus Labs Limited,LAURUSLABS
116,Life Insurance Corporation Of India,LICI
117,Lodha Developers Limited,LODHA
118,Lupin Limited,LUPIN
119,Mahindra & Mahindra Limited,M&M
120,Manappuram Finance Limited,MANAPPURAM
121,Mankind Pharma Limited,MANKIND
122,Marico Limited,MARICO
123,Maruti Suzuki India Limited,MARUTI
124,Max Financial Services Limited,MFSL
125,Max Healthcare Institute Limited,MAXHEALTH
